Model,Accuracy,Precision,Recall,F1-score,CV Mean Score,CV Std Dev
ARDRegression,,,,,,
AdaBoostClassifier,0.7230769230769231,0.7301775147928995,0.7230769230769231,0.7202917771883289,0.6541346153846155,0.07895153019303987
AdaBoostRegressor,,,,,,
AdditiveChi2Sampler,,,,,,
AffinityPropagation,,,,,,
AgglomerativeClustering,,,,,,
BaggingClassifier,0.6923076923076923,0.6933294409575245,0.6923076923076923,0.6921620046620047,0.6165384615384616,0.1106051803360031
BaggingRegressor,,,,,,
BayesianGaussianMixture,0.49230769230769234,0.24236686390532547,0.49230769230769234,0.32482157018239494,-4.17584237460853,30.00652192117623
BayesianRidge,,,,,,
BernoulliNB,0.5692307692307692,0.57198248905566,0.5692307692307692,0.5617463617463618,0.5635576923076923,0.08731934012441524
BernoulliRBM,,,,,,
Binarizer,,,,,,
Birch,,,,,,
BisectingKMeans,0.13846153846153847,0.3514792899408284,0.13846153846153847,0.19866220735785955,-155581.0605326575,15700.777845377894
CCA,,,,,,
CalibratedClassifierCV,0.6,0.6,0.6,0.5994307400379507,0.6134615384615385,0.06981755863737174
CategoricalNB,,,,,,
ClassifierChain,,,,,,
ColumnTransformer,,,,,,
ComplementNB,,,,,,
CountVectorizer,,,,,,
DBSCAN,,,,,,
DecisionTreeClassifier,0.6153846153846154,0.6158267020335986,0.6153846153846154,0.6142880640385986,0.513798076923077,0.04962125412508985
DecisionTreeRegressor,,,,,,
DictVectorizer,,,,,,
DummyClassifier,0.49230769230769234,0.24236686390532547,0.49230769230769234,0.32482157018239494,0.5015384615384615,0.003076923076923066
DummyRegressor,,,,,,
ElasticNet,,,,,,
ElasticNetCV,,,,,,
EllipticEnvelope,,,,,,
EmpiricalCovariance,,,,,,
ExtraTreeClassifier,0.6,0.6,0.6,0.6,0.5762019230769231,0.10611449329789886
ExtraTreeRegressor,,,,,,
ExtraTreesClassifier,0.7230769230769231,0.7301775147928995,0.7230769230769231,0.7202917771883289,0.6038942307692308,0.12768142837690555
ExtraTreesRegressor,,,,,,
FactorAnalysis,,,,,,
FastICA,,,,,,
FeatureAgglomeration,,,,,,
FeatureHasher,,,,,,
FeatureUnion,,,,,,
FixedThresholdClassifier,,,,,,
FrozenEstimator,,,,,,
FunctionTransformer,,,,,,
GammaRegressor,,,,,,
GaussianMixture,0.49230769230769234,0.24236686390532547,0.49230769230769234,0.32482157018239494,33.83356573627894,20.086609367428743
GaussianNB,0.6461538461538462,0.6505346005346005,0.6461538461538462,0.6444724674232871,0.6041826923076923,0.06687543203421802
GaussianProcessClassifier,0.6153846153846154,0.6222879684418146,0.6153846153846154,0.6115283618267624,0.6102884615384616,0.10679457119343912
GaussianProcessRegressor,,,,,,
GaussianRandomProjection,,,,,,
GenericUnivariateSelect,,,,,,
GradientBoostingClassifier,0.6615384615384615,0.6633798633798634,0.6615384615384615,0.65992673992674,0.6323076923076922,0.08454113328703147
GradientBoostingRegressor,,,,,,
GraphicalLasso,,,,,,
GraphicalLassoCV,,,,,,
GridSearchCV,,,,,,
HDBSCAN,,,,,,
HashingVectorizer,,,,,,
HistGradientBoostingClassifier,0.676923076923077,0.6769376733323602,0.676923076923077,0.6767699961729813,0.6727884615384616,0.0681929083122493
HistGradientBoostingRegressor,,,,,,
HuberRegressor,,,,,,
IncrementalPCA,,,,,,
IsolationForest,,,,,,
Isomap,,,,,,
IsotonicRegression,,,,,,
KBinsDiscretizer,,,,,,
KMeans,0.046153846153846156,0.33589743589743587,0.046153846153846156,0.07376623376623376,-154995.00840994128,12248.88619819275
KNNImputer,,,,,,
KNeighborsClassifier,0.676923076923077,0.6769376733323602,0.676923076923077,0.6767699961729813,0.6603365384615385,0.10125757879444683
KNeighborsRegressor,,,,,,
KNeighborsTransformer,,,,,,
KernelCenterer,,,,,,
KernelDensity,,,,,,
KernelPCA,,,,,,
KernelRidge,,,,,,
LabelBinarizer,,,,,,
LabelEncoder,,,,,,
LabelPropagation,0.5846153846153846,0.7747066492829204,0.5846153846153846,0.5024513947590872,0.566923076923077,0.02760159756010189
LabelSpreading,0.5846153846153846,0.7747066492829204,0.5846153846153846,0.5024513947590872,0.566923076923077,0.02760159756010189
Lars,,,,,,
LarsCV,,,,,,
Lasso,,,,,,
LassoCV,,,,,,
LassoLars,,,,,,
LassoLarsCV,,,,,,
LassoLarsIC,,,,,,
LatentDirichletAllocation,,,,,,
LedoitWolf,,,,,,
LinearDiscriminantAnalysis,0.6307692307692307,0.6309157509157509,0.6307692307692307,0.6302437600350315,0.545048076923077,0.07420336281634707
LinearRegression,,,,,,
LinearSVC,0.5692307692307692,0.5694683694683695,0.5692307692307692,0.5671794871794872,0.573125,0.07980934312472443
LinearSVR,,,,,,
LocalOutlierFactor,,,,,,
LocallyLinearEmbedding,,,,,,
LogisticRegression,0.5538461538461539,0.5536693191865606,0.5538461538461539,0.5525741542847743,0.5480769230769231,0.11422190622182221
LogisticRegressionCV,0.6153846153846154,0.6153116333381988,0.6153846153846154,0.6152023763964063,0.566923076923077,0.10068191589292401
MDS,,,,,,
MLPClassifier,0.6153846153846154,0.6398290598290598,0.6153846153846154,0.6006823365313931,0.529375,0.09434395184642204
MLPRegressor,,,,,,
MaxAbsScaler,,,,,,
MeanShift,,,,,,
MinCovDet,,,,,,
MinMaxScaler,,,,,,
MiniBatchDictionaryLearning,,,,,,
MiniBatchKMeans,0.07692307692307693,0.3125274725274725,0.07692307692307693,0.12296683638365213,-150783.56072412268,9182.713836071935
MiniBatchNMF,,,,,,
MiniBatchSparsePCA,,,,,,
MissingIndicator,,,,,,
MultiLabelBinarizer,,,,,,
MultiOutputClassifier,,,,,,
MultiOutputRegressor,,,,,,
MultiTaskElasticNet,,,,,,
MultiTaskElasticNetCV,,,,,,
MultiTaskLasso,,,,,,
MultiTaskLassoCV,,,,,,
MultinomialNB,,,,,,
NMF,,,,,,
NearestCentroid,0.5538461538461539,0.5562221562221562,0.5538461538461539,0.5517261545771881,0.55125,0.08302390469015536
NearestNeighbors,,,,,,
NeighborhoodComponentsAnalysis,,,,,,
Normalizer,,,,,,
NuSVC,0.6307692307692307,0.6320760320760321,0.6307692307692307,0.6290109890109891,0.6074038461538461,0.06472418152866989
NuSVR,,,,,,
Nystroem,,,,,,
OAS,,,,,,
OPTICS,,,,,,
OneClassSVM,,,,,,
OneHotEncoder,,,,,,
OneVsOneClassifier,,,,,,
OneVsRestClassifier,,,,,,
OrdinalEncoder,,,,,,
OrthogonalMatchingPursuit,,,,,,
OrthogonalMatchingPursuitCV,,,,,,
OutputCodeClassifier,,,,,,
PCA,,,,,,
PLSCanonical,,,,,,
PLSRegression,,,,,,
PLSSVD,,,,,,
PassiveAggressiveClassifier,0.5076923076923077,0.7538461538461538,0.5076923076923077,0.35806938159879337,0.5729807692307692,0.07275749392054151
PassiveAggressiveRegressor,,,,,,
PatchExtractor,,,,,,
Perceptron,0.5538461538461539,0.5721222040370977,0.5538461538461539,0.5305916719170628,0.5950961538461538,0.09642672816872636
Pipeline,,,,,,
PoissonRegressor,,,,,,
PolynomialCountSketch,,,,,,
PolynomialFeatures,,,,,,
PowerTransformer,,,,,,
QuadraticDiscriminantAnalysis,0.5538461538461539,0.6646153846153846,0.5538461538461539,0.4558245590503655,0.5545192307692307,0.05457681635214805
QuantileRegressor,,,,,,
QuantileTransformer,,,,,,
RANSACRegressor,,,,,,
RBFSampler,,,,,,
RFE,,,,,,
RFECV,,,,,,
RadiusNeighborsClassifier,,,,,,
RadiusNeighborsRegressor,0.5538461538461539,0.6646153846153846,0.5538461538461539,0.4558245590503655,-0.16285434995112413,0.32570869990224827
RadiusNeighborsTransformer,,,,,,
RandomForestClassifier,0.676923076923077,0.6779840848806367,0.676923076923077,0.6760019737924228,0.6134134615384615,0.10370554494227949
RandomForestRegressor,,,,,,
RandomTreesEmbedding,,,,,,
RandomizedSearchCV,,,,,,
RegressorChain,,,,,,
Ridge,,,,,,
RidgeCV,,,,,,
RidgeClassifier,0.5538461538461539,0.5536855933440373,0.5538461538461539,0.5536347566198312,0.5575961538461538,0.0807959262202432
RidgeClassifierCV,0.5846153846153846,0.5847480106100796,0.5846153846153846,0.5834311091616865,0.5575,0.08593693181630352
RobustScaler,,,,,,
SGDClassifier,0.5230769230769231,0.7540865384615385,0.5230769230769231,0.37527695672025574,0.5171634615384615,0.030626018881734836
SGDOneClassSVM,,,,,,
SGDRegressor,,,,,,
SVC,0.6307692307692307,0.6406153846153846,0.6307692307692307,0.6258178603006188,0.5949519230769231,0.07808985896059237
SVR,,,,,,
SelectFdr,,,,,,
SelectFpr,,,,,,
SelectFromModel,,,,,,
SelectFwe,,,,,,
SelectKBest,,,,,,
SelectPercentile,,,,,,
SelfTrainingClassifier,,,,,,
SequentialFeatureSelector,,,,,,
ShrunkCovariance,,,,,,
SimpleImputer,,,,,,
SkewedChi2Sampler,,,,,,
SparseCoder,,,,,,
SparsePCA,,,,,,
SparseRandomProjection,,,,,,
SpectralBiclustering,,,,,,
SpectralClustering,,,,,,
SpectralCoclustering,,,,,,
SpectralEmbedding,,,,,,
SplineTransformer,,,,,,
StackingClassifier,,,,,,
StackingRegressor,,,,,,
StandardScaler,,,,,,
TSNE,,,,,,
TargetEncoder,,,,,,
TfidfTransformer,,,,,,
TfidfVectorizer,,,,,,
TheilSenRegressor,,,,,,
TransformedTargetRegressor,,,,,,
TruncatedSVD,,,,,,
TunedThresholdClassifierCV,,,,,,
TweedieRegressor,,,,,,
VarianceThreshold,,,,,,
VotingClassifier,,,,,,
VotingRegressor,,,,,,
